Device,TestName,Date,X-Position1,Y-Position1,Z-Position1,X-Rotation1,Y-Rotation1,Z-Rotation2,X-Position2,Y-Position2,Z-Position2,X-Rotation2,Y-Rotation2,Z-Rotation2,X-Position3,Y-Position3,Z-Position3,X-Rotation3,Y-Rotation3,Z-Rotation3
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5674854,-1.043261,6.648179,-0.6879281,0.1944385,0.188142,1.075743,-1.320403,7.142285,-0.6973151,0.1597564,0.1671524,0.7139019,-1.321576,7.337975,-0.6980079,0.1737816,0.174507
Trackers,FirstBigTest,2022-05-11T15:06:51,0.5674005,-1.04329,6.648166,-0.6880578,0.1943898,0.1881373,1.075663,-1.320118,7.142144,-0.6973085,0.1597703,0.1671693,0.714045,-1.321886,7.337801,-0.6979364,0.1741153,0.1743743
Trackers,FirstBigTest,2022-05-11T15:06:51,0.56756,-1.043282,6.648054,-0.6881346,0.194374,0.1880479,1.075777,-1.32018,7.14218,-0.6971017,0.1598396,0.1672904,0.7140414,-1.321853,7.337735,-0.6975819,0.174295,0.1746532
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5674511,-1.043224,6.648132,-0.6880997,0.1943504,0.1882547,1.075715,-1.320186,7.142242,-0.6968924,0.1598261,0.1676748,0.7138784,-1.3213,7.338107,-0.6971413,0.1746444,0.1747318
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5675566,-1.043328,6.647984,-0.6881294,0.1944326,0.1880238,1.075945,-1.320369,7.142368,-0.6970633,0.1597565,0.1675091,0.7138316,-1.32151,7.338023,-0.6976593,0.1743834,0.1744006
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5674376,-1.043275,6.648184,-0.6880575,0.1943662,0.1882777,1.075617,-1.320046,7.14229,-0.6968624,0.1597742,0.1678195,0.7140502,-1.321953,7.33773,-0.6975424,0.174422,0.1745741
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5674656,-1.043378,6.648079,-0.6881792,0.1944021,0.1882286,1.075721,-1.320317,7.142488,-0.6971262,0.1597231,0.1675668,0.7138674,-1.321471,7.338219,-0.6978431,0.1740914,0.1744203
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5675122,-1.043332,6.647971,-0.6882039,0.1944314,0.1881889,1.075595,-1.320152,7.14217,-0.6971423,0.1596969,0.1675864,0.7137836,-1.321509,7.338055,-0.6981035,0.1741256,0.1742292
Trackers,FirstBigTest,2022-05-11T15:06:52,0.567424,-1.043343,6.64808,-0.6881698,0.1942832,0.1882708,1.075638,-1.320407,7.142411,-0.6971263,0.1596982,0.1677178,0.7138328,-1.321577,7.33817,-0.6980323,0.1741796,0.174232
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5674214,-1.04314,6.648154,-0.6881395,0.1942931,0.1882548,1.075713,-1.320139,7.142085,-0.6971833,0.159681,0.1675656,0.7138492,-1.321474,7.338146,-0.6981785,0.1740323,0.1740817
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5675467,-1.043344,6.648049,-0.6882432,0.1943684,0.1882848,1.075759,-1.320216,7.14215,-0.6974215,0.1596485,0.1672694,0.7138859,-1.321503,7.338129,-0.6981162,0.1741291,0.1740367
Trackers,FirstBigTest,2022-05-11T15:06:52,0.5674552,-1.043411,6.648024,-0.6881784,0.194396,0.1881346,1.075541,-1.320122,7.142221,-0.6973006,0.1598496,0.167468,0.7137738,-1.321401,7.338127,-0.698471,0.1738093,0.1738996
Trackers,FirstBigTest,2022-05-11T15:06:53,0.5674175,-1.043262,6.648058,-0.6882678,0.1943408,0.1881213,1.075634,-1.320252,7.141985,-0.6974633,0.1596046,0.1671885,0.7139685,-1.321603,7.338071,-0.6985821,0.1738769,0.1738942
Trackers,FirstBigTest,2022-05-11T15:06:53,0.5675157,-1.043414,6.647995,-0.6881698,0.1944221,0.1881662,1.075642,-1.320237,7.142228,-0.6973082,0.1597686,0.1676009,0.7138616,-1.321485,7.338134,-0.6986761,0.1736334,0.1740218
Trackers,FirstBigTest,2022-05-11T15:06:53,0.5674888,-1.043246,6.648081,-0.6882305,0.1944032,0.1880409,1.075774,-1.32027,7.142245,-0.6977153,0.1596439,0.1670865,0.7139595,-1.321501,7.338276,-0.698656,0.1737361,0.1741396
Trackers,FirstBigTest,2022-05-11T15:07:32,-1.732491,-1.065539,2.722586,-0.688798,0.1998987,0.1873974,-1.215343,-1.344768,3.219073,-0.6972341,0.1604294,0.1712923,-1.574821,-1.34693,3.416036,-0.697053,0.1746502,0.1809361
Trackers,FirstBigTest,2022-05-11T15:07:32,-1.732585,-1.06555,2.722692,-0.6886097,0.1999551,0.1875258,-1.215456,-1.344873,3.21899,-0.6971384,0.1604608,0.1711801,-1.574778,-1.346901,3.416087,-0.6972026,0.1745573,0.180962
Trackers,FirstBigTest,2022-05-11T15:07:32,-1.732512,-1.065521,2.722596,-0.6886656,0.2000718,0.1874603,-1.215416,-1.345014,3.219464,-0.6971873,0.1603187,0.1713676,-1.574358,-1.346949,3.416094,-0.6974137,0.1745757,0.1808281
Trackers,FirstBigTest,2022-05-11T15:07:32,-1.732465,-1.065498,2.722519,-0.6886987,0.2000255,0.1874149,-1.215529,-1.345024,3.219237,-0.6973854,0.1605521,0.1714692,-1.574603,-1.346965,3.416101,-0.6973221,0.1745492,0.180936
Trackers,FirstBigTest,2022-05-11T15:07:32,-1.732547,-1.065435,2.722594,-0.6886961,0.2000862,0.1874188,-1.215452,-1.3449,3.218906,-0.6973265,0.1606563,0.1712358,-1.574236,-1.346982,3.416262,-0.6974794,0.1740946,0.1810841
Trackers,FirstBigTest,2022-05-11T15:07:33,-1.732413,-1.065563,2.722656,-0.6887306,0.2000979,0.1873737,-1.21534,-1.344837,3.21898,-0.6971267,0.1605941,0.171113,-1.574241,-1.346863,3.416308,-0.6977236,0.1736437,0.1812239
Trackers,FirstBigTest,2022-05-11T15:07:33,-1.732569,-1.065532,2.722661,-0.6887509,0.2000244,0.1874687,-1.215532,-1.344929,3.218882,-0.6973337,0.1605644,0.1712169,-1.574894,-1.346606,3.416037,-0.6974716,0.1740883,0.1811382
Trackers,FirstBigTest,2022-05-11T15:07:33,-1.732469,-1.065583,2.722562,-0.6888262,0.2001208,0.187403,-1.215261,-1.344934,3.219133,-0.6974738,0.1604786,0.171274,-1.574438,-1.346448,3.416306,-0.6973711,0.1740745,0.1812743
Trackers,FirstBigTest,2022-05-11T15:07:33,-1.732621,-1.065518,2.722681,-0.6887472,0.2000881,0.1874027,-1.215449,-1.344763,3.218953,-0.6972678,0.1604653,0.1712575,-1.574416,-1.34672,3.416234,-0.6974224,0.1738988,0.181365
Trackers,FirstBigTest,2022-05-11T15:07:33,-1.732538,-1.065562,2.722672,-0.6887197,0.2002191,0.1875221,-1.215323,-1.344885,3.219086,-0.6972445,0.1604276,0.1712658,-1.574786,-1.346333,3.416149,-0.6973742,0.1741203,0.1811989
