Device,TestName,Date,X-Position,Y-Position,Z-Position,X-Rotation,Y-Rotation,Z-Rotation
Focus3,FirstBigTest,2022-05-11T15:07:15,-0.06473129,1.248357,1.367,0.06228388,-0.04448593,-0.0006915439
Focus3,FirstBigTest,2022-05-11T15:07:15,-0.06465818,1.248383,1.366346,0.06230444,-0.04322587,-0.0005154395
Focus3,FirstBigTest,2022-05-11T15:07:16,-0.06458115,1.248292,1.364157,0.06230547,-0.04401405,-0.0004898169
Focus3,FirstBigTest,2022-05-11T15:07:16,-0.06469589,1.248295,1.366497,0.06217865,-0.04362377,-0.0005893533
Focus3,FirstBigTest,2022-05-11T15:07:16,-0.06472099,1.248271,1.36592,0.0623345,-0.04357018,-0.0005720418
Focus3,FirstBigTest,2022-05-11T15:07:17,-0.06445904,1.248207,1.365117,0.06219121,-0.04428764,-0.0005901217
Focus3,FirstBigTest,2022-05-11T15:07:17,-0.06455848,1.248236,1.365376,0.06235216,-0.04433513,-0.0006410532
Focus3,FirstBigTest,2022-05-11T15:07:17,-0.06462236,1.248094,1.365898,0.06217619,-0.04417226,-0.0005699968
Focus3,FirstBigTest,2022-05-11T15:07:18,-0.06455029,1.248035,1.365981,0.06227359,-0.04409952,-0.0006419188
Focus3,FirstBigTest,2022-05-11T15:07:18,-0.06467013,1.248021,1.366231,0.06213841,-0.04402189,-0.0005619631
Focus3,FirstBigTest,2022-05-11T15:07:18,-0.06472744,1.248006,1.366305,0.06218736,-0.04392231,-0.000642795
Focus3,FirstBigTest,2022-05-11T15:07:19,-0.06468923,1.247996,1.366164,0.06206951,-0.04401263,-0.0005534126
Focus3,FirstBigTest,2022-05-11T15:07:19,-0.06472964,1.247999,1.366145,0.06219271,-0.04410005,-0.0005740324
Focus3,FirstBigTest,2022-05-11T15:07:19,-0.06465949,1.247983,1.366164,0.06215061,-0.04412239,-0.0005505093
Focus3,FirstBigTest,2022-05-11T15:07:20,-0.064617,1.248015,1.366258,0.062162,-0.04410794,-0.0005467442
Focus3,FirstBigTest,2022-05-11T15:07:20,-0.06462018,1.247986,1.366261,0.06219708,-0.0441522,-0.0006128369
Focus3,FirstBigTest,2022-05-11T15:07:20,-0.0646134,1.247869,1.365899,0.06198309,-0.04396768,-0.0005525309
Focus3,FirstBigTest,2022-05-11T15:07:21,-0.06459451,1.247928,1.366106,0.06215676,-0.04422254,-0.0005535364
Focus3,FirstBigTest,2022-05-11T15:07:21,-0.06450523,1.247914,1.366122,0.06215482,-0.04413633,-0.0005916026
Focus3,FirstBigTest,2022-05-11T15:07:21,-0.06465573,1.247787,1.365917,0.06252209,-0.04408913,-0.0006182718
Focus3,FirstBigTest,2022-05-11T15:07:22,-0.06464048,1.247677,1.366065,0.06223107,-0.04417016,-0.0006001609
Focus3,FirstBigTest,2022-05-11T15:07:22,-0.06463439,1.247713,1.366106,0.06222008,-0.04418567,-0.0005358884
Focus3,FirstBigTest,2022-05-11T15:07:22,-0.06457476,1.247727,1.366106,0.06233565,-0.04417602,-0.000552107
Focus3,FirstBigTest,2022-05-11T15:07:23,-0.06452895,1.247704,1.366065,0.06232559,-0.04416793,-0.0005105832
Focus3,FirstBigTest,2022-05-11T15:07:23,-0.06453294,1.247663,1.366059,0.06230887,-0.04414739,-0.0004897168
Focus3,FirstBigTest,2022-05-11T15:07:23,-0.06456064,1.247643,1.366086,0.06219477,-0.04411836,-0.0005319802
Focus3,FirstBigTest,2022-05-11T15:07:24,-0.06462883,1.24763,1.366102,0.06225008,-0.04416057,-0.000584506
Focus3,FirstBigTest,2022-05-11T15:07:24,-0.06472205,1.247684,1.366115,0.06227535,-0.04407665,-0.0005271314
Focus3,FirstBigTest,2022-05-11T15:07:24,-0.06478546,1.247681,1.366142,0.06224244,-0.04414758,-0.0004833066
Focus3,FirstBigTest,2022-05-11T15:07:25,-0.06481646,1.247687,1.36617,0.06229688,-0.04409645,-0.0005140398
Focus3,FirstBigTest,2022-05-11T15:07:25,-0.06479394,1.247679,1.366174,0.06220356,-0.04407841,-0.0005837778
Focus3,FirstBigTest,2022-05-11T15:07:25,-0.06478446,1.247581,1.366157,0.06231951,-0.04411186,-0.0005259056
Focus3,FirstBigTest,2022-05-11T15:07:26,-0.06474876,1.247494,1.366168,0.06225267,-0.044067,-0.0004450589
Focus3,FirstBigTest,2022-05-11T15:07:26,-0.06464174,1.247512,1.36623,0.06225025,-0.04415364,-0.0004473157
Focus3,FirstBigTest,2022-05-11T15:07:26,-0.06462289,1.247551,1.366263,0.06229519,-0.04412367,-0.000484442
Focus3,FirstBigTest,2022-05-11T15:07:27,-0.06459812,1.247561,1.366225,0.06234209,-0.04409472,-0.0004543127
Focus3,FirstBigTest,2022-05-11T15:07:27,-0.06460852,1.247556,1.366247,0.06223405,-0.04410918,-0.0004836303
Focus3,FirstBigTest,2022-05-11T15:07:27,-0.0645741,1.247572,1.36627,0.06233799,-0.04408982,-0.0004808908
Focus3,FirstBigTest,2022-05-11T15:07:28,-0.06457586,1.247568,1.366284,0.06228204,-0.04412909,-0.000524463
Focus3,FirstBigTest,2022-05-11T15:07:28,-0.06458937,1.247592,1.366249,0.06238432,-0.04410686,-0.0004568459
Focus3,FirstBigTest,2022-05-11T15:07:28,-0.06461039,1.247576,1.366251,0.06226633,-0.04411814,-0.00042882
Focus3,FirstBigTest,2022-05-11T15:07:29,-0.06456529,1.247613,1.36624,0.06233289,-0.04405205,-0.0004440506
Focus3,FirstBigTest,2022-05-11T15:07:29,-0.06454148,1.247683,1.366321,0.06233815,-0.04410347,-0.0003951736
Focus3,FirstBigTest,2022-05-11T15:07:29,-0.06454935,1.247671,1.366346,0.06233563,-0.04411736,-0.0004039238
Focus3,FirstBigTest,2022-05-11T15:07:30,-0.06453205,1.247667,1.366381,0.06232222,-0.04404188,-0.0004526742
Focus3,FirstBigTest,2022-05-11T15:07:30,-0.0645477,1.247648,1.366387,0.06236492,-0.04408408,-0.000459279
Focus3,FirstBigTest,2022-05-11T15:07:30,-0.06456262,1.247615,1.366357,0.06233141,-0.04405369,-0.0003841541
Focus3,FirstBigTest,2022-05-11T15:07:31,-0.06451412,1.247552,1.366365,0.06236264,-0.04406937,-0.0003843997
Focus3,FirstBigTest,2022-05-11T15:07:31,-0.06439605,1.247548,1.366384,0.06233024,-0.04408474,-0.0003772062
Focus3,FirstBigTest,2022-05-11T15:07:31,-0.06439362,1.247554,1.366421,0.06240312,-0.04410465,-0.0003997883
Focus3,FirstBigTest,2022-05-11T15:07:32,-0.06443538,1.247526,1.366382,0.06240018,-0.04408824,-0.0003489636
Focus3,FirstBigTest,2022-05-11T15:07:32,-0.06443313,1.247527,1.366391,0.06241085,-0.04407435,-0.0003160835
Focus3,FirstBigTest,2022-05-11T15:07:32,-0.06440339,1.24752,1.366514,0.06233605,-0.04409108,-0.0003977
Focus3,FirstBigTest,2022-05-11T15:07:33,-0.06437983,1.247499,1.366625,0.06244437,-0.0440553,-0.0004227237
Focus3,FirstBigTest,2022-05-11T15:07:33,-0.06442556,1.247497,1.366569,0.06246319,-0.04410789,-0.000396768
Focus3,FirstBigTest,2022-05-11T15:07:33,-0.06451139,1.247512,1.36636,0.06252186,-0.0441227,-0.0003474095
Focus3,FirstBigTest,2022-05-11T15:07:34,-0.06450816,1.247455,1.366334,0.06232882,-0.04406219,-0.0003446236
Focus3,FirstBigTest,2022-05-11T15:07:34,-0.06450616,1.247483,1.366379,0.06246306,-0.0440882,-0.0004126027
Focus3,FirstBigTest,2022-05-11T15:07:34,-0.06452056,1.247485,1.3664,0.0623944,-0.04408268,-0.0003674941
Focus3,FirstBigTest,2022-05-11T15:07:35,-0.06452269,1.247548,1.366385,0.0625549,-0.04407961,-0.000330783
Focus3,FirstBigTest,2022-05-11T15:07:35,-0.06457097,1.247514,1.36646,0.06237663,-0.04405851,-0.0003335834
Focus3,FirstBigTest,2022-05-11T15:07:35,-0.06456169,1.247455,1.366434,0.06238277,-0.04407904,-0.0002733502
Focus3,FirstBigTest,2022-05-11T15:07:36,-0.06451751,1.247384,1.366503,0.06242575,-0.0440634,-0.0003120518
Focus3,FirstBigTest,2022-05-11T15:07:36,-0.06452408,1.24736,1.36648,0.06246309,-0.04412893,-0.0002990336
Focus3,FirstBigTest,2022-05-11T15:07:36,-0.06450072,1.247359,1.366536,0.06241921,-0.04406846,-0.0003150496
Focus3,FirstBigTest,2022-05-11T15:07:37,-0.0644921,1.247366,1.366596,0.06241677,-0.04407226,-0.0002929347
Focus3,FirstBigTest,2022-05-11T15:07:37,-0.06444056,1.247349,1.366577,0.0624178,-0.04407473,-0.0003405395
Focus3,FirstBigTest,2022-05-11T15:07:37,-0.06449401,1.24738,1.366597,0.06248444,-0.04407302,-0.0003716808
Focus3,FirstBigTest,2022-05-11T15:07:38,-0.0645754,1.247369,1.366592,0.06245543,-0.04408352,-0.0003474912
Focus3,FirstBigTest,2022-05-11T15:07:38,-0.06460303,1.247371,1.366545,0.06249174,-0.04409933,-0.0003607958
Focus3,FirstBigTest,2022-05-11T15:07:38,-0.06459384,1.247369,1.366533,0.06246053,-0.04408601,-0.0003393076
Focus3,FirstBigTest,2022-05-11T15:07:39,-0.06460781,1.24738,1.366522,0.06236162,-0.04408916,-0.0003351325
Focus3,FirstBigTest,2022-05-11T15:07:39,-0.06457248,1.247376,1.366527,0.06250881,-0.04409342,-0.0003305821
Focus3,FirstBigTest,2022-05-11T15:07:39,-0.0645629,1.247401,1.366536,0.06235707,-0.04406732,-0.0003340476
Focus3,FirstBigTest,2022-05-11T15:07:40,-0.06455786,1.247476,1.366518,0.06246107,-0.04404002,-0.000322359
Focus3,FirstBigTest,2022-05-11T15:07:40,-0.0645586,1.247459,1.366568,0.06235918,-0.04406694,-0.0003388562
Focus3,FirstBigTest,2022-05-11T15:07:40,-0.06454068,1.247441,1.366547,0.06244262,-0.04404783,-0.0002885362
Focus3,FirstBigTest,2022-05-11T15:07:41,-0.06455985,1.247407,1.366621,0.06234013,-0.04400999,-0.0003067426
Focus3,FirstBigTest,2022-05-11T15:07:41,-0.06455538,1.247391,1.36659,0.06244509,-0.0440239,-0.0002935219
Focus3,FirstBigTest,2022-05-11T15:07:41,-0.06453494,1.247333,1.366641,0.06231319,-0.04401344,-0.0002844236
Focus3,FirstBigTest,2022-05-11T15:07:42,-0.06451348,1.247301,1.366592,0.06247825,-0.04399709,-0.0002689346
Focus3,FirstBigTest,2022-05-11T15:07:42,-0.06450897,1.24729,1.366649,0.06227448,-0.0439055,-0.000256144
Focus3,FirstBigTest,2022-05-11T15:07:42,-0.06451306,1.247373,1.366655,0.06242823,-0.0439649,-0.000283169
Focus3,FirstBigTest,2022-05-11T15:07:43,-0.06452259,1.24736,1.366672,0.06234773,-0.04401496,-0.000255034
Focus3,FirstBigTest,2022-05-11T15:07:43,-0.06451239,1.247401,1.366664,0.06241308,-0.04398625,-0.0002408586
Focus3,FirstBigTest,2022-05-11T15:07:43,-0.06452469,1.247405,1.366677,0.06235004,-0.04398922,-0.0002173114
Focus3,FirstBigTest,2022-05-11T15:07:44,-0.06451251,1.247405,1.366659,0.06239729,-0.04396082,-0.0002824707
Focus3,FirstBigTest,2022-05-11T15:07:44,-0.06450405,1.247396,1.366699,0.06246362,-0.04400139,-0.0002274697
Focus3,FirstBigTest,2022-05-11T15:07:44,-0.06450844,1.247402,1.366644,0.06244275,-0.04402198,-0.0001996734
Focus3,FirstBigTest,2022-05-11T15:07:45,-0.06452496,1.247389,1.366604,0.06237732,-0.0439803,-0.0002288084
Focus3,FirstBigTest,2022-05-11T15:07:45,-0.06452104,1.247412,1.366644,0.06239361,-0.04398072,-0.0002194373
Focus3,FirstBigTest,2022-05-11T15:07:45,-0.06448154,1.24729,1.366785,0.06190323,-0.04406711,-0.0004285415
Focus3,FirstBigTest,2022-05-11T15:07:46,-0.06445363,1.247408,1.366605,0.06235372,-0.04436096,-0.0001956177
